MOVE_UP	PREPONE
UPDATES	UPDATIONS
01/04/06	04/01/06
PERIOD	FULL_STOP
OUT_OF_TOWN	OUT_OF_STATION
MATH	MATHS
FALL	AUTUMN
LEGAL_HOLIDAY	BANK_HOLIDAY
THUMB_TACK	PAPER_PIN
CHECK	TICK
ZEE	ZED
PISSED	PISSED_OFF
APPETIZER	STARTER
COOL	DANGEROUS
EMAIL_ADDRESS	EMAIL_ID
AT	AT_THE_RATE_OF
WITH	CUM
REPLY	REVERT
WHAT'S_NECESSARY	THE_NEEDFUL
VEST	WAIST_COAT
(PANTY)_HOSE	TIGHTS
PANTS	TROUSERS
SNEAKERS	TRAINERS
SUSPENDERS	BRACES
GARTERS	SUSPENDERS
BATHROBE	DRESSING_GOWN
CHEESECLOTH	MUSLIN
PURSE	HAND_BAG
POCKET_BOOK	PURSE
WALLET	PURSE
SANDALS	CHAPPALS
PACIFIER	DUMMY
DIAPER	NAPPY
I'D_LOVE_TO	I_DON'T_MIND
DEFINITELY	OBVIOIUSLY
TRANSPORT	CONVEYANCE
FILLED_OUT	FILLED_UP
JAM_PACKED	CHOCK-A-BLOCK
SIDEWALK	FOOTPATH
CROSSWALK	PEDESTRIAN_CROSSING
STORE	SHOP
DRUG_STORE	MEDICALS_STORE
CHECK	BILL
LIQUOR_STORE	BRANDY_STORE
FISHERMAN	FISH_MONGER
HARDWARE_STORE	IRONMONGER
DOWNTOWN	TOWN_CENTRE
MAIL	POST
ZIP_CODE	POSTCODE_OR_PIN
COLLECT_CALL	REVERSE_CHARGE
TOLL_FREE	FREE_PHONE
.COM	.CO.IN
AUTOMOBILE	CAR
HOOD	BONNET
TRUNK	BOOT
LICENSE_PLATE	NUMBER_PLATE
ANTENNA	AERIAL
WRENCH	SPANNER
WINDSHIELD	WINDSCREEN
FENDER	MUD_GUARD
FREEWAY	MOTORWAY
OVERPASS	FLYOVER
TRUCK	LORRY
GASOLINE	PETROL
GAS_STATION	PETROL_STATION
PULL-OFF	LAY-BY
DUMPSTER	SKIP
ONE_WAY	SINGLE
ROUND_TRIP	RETURN
RAILROAD	RAILWAY
TIE	SLEEPER
HERE	THERE
COOKIE	BISCUIT
JELLY	JAM
CHIPS	CRISPS
FRENCH_FRIES	CHIPS
PITCHER	JUG
CANDY	SWEETS
JELLY_ROLL	SWISS_ROLL
MOLASSES	TREACLE
POPSICLE	LOLLY
SQUASH	MARROW
GROUND_MEAT	MINCE
OATMEAL	PORRIDGE
GRANOLA	MUESLI
COTTON_CANDY	CANDY_FLOSS
DRUMSTICK	LOLLYPOP
AVOCADO	BUTTER_FRUIT
EGGPLANT	BRINJAL_(AUBERGINE)
CHECK	BILL
RESTAURANT	HOTEL
BUG	INSECT
LADYBUG	LADYBIRD
APARTMENT	FLAT
FAUCET	TAP
VARIABLE	DUST
TRASH_CAN	DUSTBIN
FLASHLIGHT	TORCH
FIRST_FLOOR	GROUND_FLOOR
SECOND_FLOOR	FIRST_FLOOR
ELEVATOR	LIFT
MOVIE_THEATER	CINEMA
DUPLEX	SEMI-DETACHED_HOUSE
SHOW	PROGRAMME
CHECKERS	DRAUGHTS
GAME	MATCH
BASEBALL	CRICKET
PITCHER	BOWLER
TEETER-TOTTER	SEE-SAW
TIC_TAC_TOE	NOUGHTS_AND_CROSSES
DECK	PACK
CELLULAR,_CELL	MOBILE
LINE	QUEUE
1941_-_1945	1939_-_1945
